"","X1_LD","X2_LDV","X3_SD","X4_SDV","X5_FT10","X6_FT16","X7_FT22","X40_2W","X42_8W","X43_FLC","X44_FRI","X45_8W.GH.FT","X46_8W.GH.LN","X47_0W.GH.FT","X57_FT.Field","X58_FT.Diameter.Field","X59_FT.GH","X60_FT.Duration.GH","X61_LC.Duration.GH","X62_LFS.GH","X63_MT.GH","X64_RP.GH","X65_At1","X66_At1.CFU2","X67_As","X68_As.CFU2","X69_Bs","X70_Bs.CFU2","X71_At2","X72_At2.CFU2","X73_As2","X74_As2.CFU2","X80_LN10","X81_LN16","X82_LN22","X161_Germ.10","X162_Germ.16","X163_Germ.22","X164_Width.10","X165_Width.16","X166_Width.22","X167_Chlorosis.10","X168_Chlorosis.16","X169_Chlorosis.22","X170_Anthocyanin.10","X171_Anthocyanin.16","X172_Anthocyanin.22","X173_Leaf.serr.10","X174_Leaf.serr.16","X175_Leaf.serr.22","X176_Leaf.roll.10","X177_Leaf.roll.16","X178_Leaf.roll.22","X179_Rosette.Erect.22"
"5837",41.875,25,75.6667,42.3333,57,50,43,28,20.2,0.813,2.4135,27.6,15.8,34.1,158.042,25.1824,34.8845,22.505,72.08,57.1281,14.6875,37.0721,0.5,5.331,1,3.528,5.333,4.222,0.167,3.711,0,5.055,21,28,23,7,4,2,4.5,8.5,10.5,0,1,1,0,1,0,0.5,1,1,1,1,0,0
"6008",26,24.6667,69.6667,58,60,41,24,16,17.2,0.018,0.243,25.2,15,25.2,166.69,26.0618,24.379,16.4742,58.0526,41.0804,16.5362,33.3679,1.333,3.102,0.167,4.451,2.333,3.781,0,5.351,0.5,5.055,24,13,13,5,3,2,2.4,8.2,6.2,0,1,1,0,0,0,0.5,0,0,1,0,0,0
"6009",200,47,NA,74.6667,98,151,250,125,31.5,0.939,1.3987,35.9,24.1,200,180.792,26.0843,163.224,NA,NA,NA,NA,NA,1,3.936,2.5,5.091,1.5,5.556,4.6,4.406,0.25,5.144,31,79,178,5,4,4,2.4,7.8,7.7,1,1,1,0,0,1,0,0,0,0,0,0,1
"6016",83.0417,35,200,55,75,101,113,78.2,30.8,2.084,1.89,NA,NA,200,180.088,21.4814,125.997,NA,NA,NA,NA,NA,0.667,3.82,0.333,4.577,4,4.981,1.4,3.737,0.667,4.675,38,50,64,7,3,2,2.8,6.5,9.5,1,1,1,0,1,1,0,0,0.75,0,0,0,1
"6040",200,43.2,200,78,71,92,87,72.4,33,2.321,1.901,33.3,30.4,86,187.514,28.4487,65.1273,32.6043,111.196,97.3101,13.1144,45.7053,0.667,3.362,0.5,5.176,1.333,4.721,0.667,4.078,0.333,4.816,35,37,74,7,3,2,1.8,6.2,9.7,0,0,1,0,0,0,0.5,0,0.5,0,0,0,1
"6042",29.1667,28,83.3403,53.6667,56,35,29,17.6,16.6,0.052,0.425,26.4,16.1,23,152.963,29.1316,24.4555,21.1135,62.6891,45.6661,16.9943,38.2066,1.333,5.325,0.333,4.391,5.5,6.187,0.167,3.354,0,4.714,17,13,9,5,3,2,2,8.5,9,1,1,1,0,1,0,0.5,1,1,0,0,0,0
"6043",200,52.8333,200,99,90,174,250,125,NA,1.49,1.7791,43.4,37.9,200,173.259,27.0311,166.469,NA,NA,NA,NA,NA,1.167,5.117,0.667,4.589,1.5,4.848,0.5,4.103,0.667,3.835,48,82.5,180,5,3,2,3.8,7.2,8.5,0,1,0,1,1,1,0.75,1,1,0,0,0,1
"6046",200,51.25,200,117.2,93,150,250,NA,36.8,3.324,4.3861,42,38,200,170.863,27.4397,NA,NA,NA,NA,NA,NA,1.833,3.939,1,4.757,3.75,4.187,0.833,3.613,1.667,5.177,44,94,184,5,4,2,3.2,7.2,8.6,0,1,0,0,1,1,0,0.75,1,0,0,0,0.5
"6064",200,42,200,NA,96,201,250,125,26.9,1.234,0.838,37.1,27.6,200,188.772,21.7971,166.221,NA,NA,127.604,NA,NA,0.5,3.482,0,4.323,6.333,5.027,1.333,5.669,1.833,4.127,46,116,124,7,3,2,2.4,6.2,11.2,1,1,1,0,1,1,0.75,0.75,1,0,0,0,1
"6074",200,43.6,200,135.333,91,97,123,125,43.8,1.628,1.112,NA,NA,200,174.899,31.2103,103.574,12.3641,115.924,116.162,-0.492884,11.8976,3,3.985,4.2,4.76,5.75,5.889,1.8,4.147,2.833,5.657,37,42,158,7,3,2,2.5,7.2,15,0,0,0,0,0,1,0.75,0.75,0.75,0,0,0,1
